Algorithm,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25
BLX-GL50,1e-9,1e-9,5.705e2,1e-9,1e-9,1e-9,0.01172,20.35,1.154,4.975,2.334,406.9,0.7498,2.172,400,93.49,109,420,449,446,689.3,758.6,638.9,200,403.6
BLX-MA,1e-9,1e-9,4.771e4,1.997e-8,0.02124,1.49,0.1971,20.19,0.4379,5.643,4.557,74.3,0.7736,2.03,269.6,101.6,127,803.3,762.8,800,721.8,670.9,926.7,224,395.7
CoEVO,1e-9,1e-9,1e-9,1e-9,2.133,124.6,0.03705,20.27,1.919e1,2.677e1,9.029,604.6,1.137,3.706,293.8,177.2,211.8,901.4,844.5,862.9,634.9,778.9,834.6,313.8,257.3
DE,1e-9,1e-9,1.94e-6,1e-9,1e-9,0.159,0.146,20.4,0.955,125,0.847,317,0.977,3.45,259,113,115,420,420,460,492,718,572,200,923
DMS-L-PSO,1e-9,1e-9,1e-9,0.001885,1.138e-6,6.892e-8,0.04519,200,1e-9,3.622,4.623,240.01,0.3689,2.36,485.4,94.76,110.1,760.7,714.3,822,536,692.4,730.3,224,365.7
EDA,1e-9,1e-9,2.121e1,1e-9,1e-9,0.04182,0.4205,20.34,5.418,5.289,3.944,442.3,1.841,2.63,365,143.9,156.8,483.2,564.4,651.9,484,770.9,640.5,200,373
G-CMA-ES,1e-9,1e-9,1e-9,1e-9,1e-9,1e-9,1e-9,200,0.239,0.0796,0.934,293,0.696,3.01,228,91.3,123,332,326,300,500,729,559,200,374
K-PCX,1e-9,1e-9,0.415,7.94e-7,4.85e1,0.478,0.231,200,0.119,0.239,6.65,149,0.653,2.35,510,95.9,97.3,752,751,813,1050,659,1060,406,406
L-CMA-ES,1e-9,1e-9,1e-9,1.76e6,1e-9,1e-9,1e-9,200,4.49,4.08e1,3.65,209,0.494,4.01,211,105,549,497,516,442,404,560,791,865,442
L-SaDE,1e-9,1e-9,0.01672,1.418e-5,0.012,1.199e-8,0.02,200,1e-9,4.969,4.891,4501,0.22,2.915,32,101.2,114.1,719.4,704.9,713,464,734.9,664.1,200,375.9
SPC-PNX,1e-9,1e-9,1.081e5,1e-9,1e-9,1.891,0.08261,209.9,4.02,7.304,1.91,259.5,0.8379,3.046,253.8,109.6,119,439.6,380,440,680.1,749.3,575.9,200,406
